Symbol,LTP,%Change,Open,High,Low,Qty.,PClose,Diff.
GUFL,551.00,0.29,549.00,555.00,545.10,"7,166",549.40,1.6
GVL,476.50,-1.14,484.00,484.00,475.10,"13,248",482.00,-5.5
H8020,11.53,-3.92,12.00,12.00,11.49,"2,600",12.00,-0.47
HATHY,737.00,-1.07,754.00,754.00,730.60,"5,757",745.00,-8
HBL,193.80,-1.07,205.60,205.60,191.30,"48,449",195.90,-2.1
HDHPC,211.50,-0.75,213.10,214.90,206.80,"191,131",213.10,-1.6
HDL,"1,140.20",-0.46,"1,146.00","1,150.00","1,137.10","28,211","1,145.50",-5.3
HEI,543.00,-1.27,547.00,556.20,535.10,"12,780",550.00,-7
HEIP,333.00,2.46,333.00,333.00,333.00,51,325.00,8
HFIN,756.00,-2.45,761.10,785.00,741.10,"51,168",775.00,-19
HHL,342.90,-1.18,345.00,353.90,337.10,"31,585",347.00,-4.1
HIDCL,256.00,-0.78,255.10,259.90,252.00,"84,472",258.00,-2
HIDCLP,189.20,-0.84,190.00,193.70,188.10,"159,694",190.80,-1.6
HIMSTAR,793.00,-1.73,810.00,810.00,770.00,"8,482",807.00,-14
HLBSL,865.00,-1.7,856.00,874.90,856.00,280,880.00,-15
HLI,329.50,-1.35,333.80,334.00,326.70,"28,924",334.00,-4.5
HLICF,8.88,0,8.88,9.00,8.62,"4,100",8.88,0
HPPL,364.00,-1.36,358.00,368.40,358.00,"16,382",369.00,-5
HRL,594.00,-2.14,577.00,605.00,577.00,"111,805",607.00,-13
HURJA,237.70,-1.37,241.00,241.00,234.00,"52,364",241.00,-3.3
ICFC,619.00,-0.48,621.00,623.90,613.10,"20,016",622.00,-3
ICFCD83,"1,120.00",0,"1,119.90","1,120.00","1,119.90",100,"1,120.00",0
ICFCD88,"1,148.00",2.41,"1,115.10","1,148.00","1,115.10",75,"1,121.00",27
ICFCD89,"1,114.90",2.57,"1,095.10","1,118.00","1,095.10",930,"1,087.00",27.9
IGI,436.00,-1.47,439.00,444.80,430.30,"11,010",442.50,-6.5
IHL,372.00,-2.87,375.00,378.10,365.10,"18,578",383.00,-11
ILBS,909.80,0.2,895.00,909.80,890.00,"2,458",908.00,1.8
ILI,424.00,-0.47,426.10,429.00,417.00,"28,992",426.00,-2
JBBL,341.00,-1.16,347.50,347.50,336.10,"25,321",345.00,-4
JBLB,"1,260.00",-0.32,"1,220.00","1,263.00","1,220.00","3,544","1,264.00",-4
JFL,403.00,-0.49,405.00,405.00,400.00,"7,024",405.00,-2
JHAPA,"1,258.90",-2.93,"1,250.00","1,375.60","1,220.00","13,865","1,296.90",-38
JOSHI,265.00,0,265.00,265.00,259.20,"9,345",265.00,0
JSLBB,"1,045.00",1.46,"1,012.10","1,045.00","1,000.00",562,"1,030.00",15
KBL,211.00,0.86,209.20,212.00,205.00,"222,033",209.20,1.8
KBSH,"1,370.10",-2.69,"1,391.00","1,391.00","1,370.00",332,"1,408.00",-37.9
KDBY,10.95,0.64,10.87,10.95,10.56,"906,700",10.88,0.07
KDL,799.00,-1.36,801.40,815.00,791.00,"2,593",810.00,-11
KEF,10.54,1.54,10.38,10.73,10.38,"17,300",10.38,0.16
KHPL,899.90,-3.25,930.00,956.00,855.00,"30,181",930.10,-30.2
KKHC,239.10,-2.01,242.10,248.00,236.00,"38,024",244.00,-4.9
KMCDB,815.30,-1.81,820.00,828.00,815.00,"1,040",830.30,-15
KPCL,477.00,-1.04,484.00,484.00,475.40,"8,420",482.00,-5
KSBBL,475.00,-1.04,479.20,482.00,474.00,"26,732",480.00,-5
KSY,9.75,-0.31,9.65,9.90,9.65,970,9.78,-0.03
LBBL,482.00,-1.01,489.60,489.60,476.30,"45,004",486.90,-4.9
LBLD88,"1,088.70",0.03,"1,088.40","1,088.40","1,088.40",7,"1,088.40",0.3
LEC,214.00,-0.88,213.10,216.50,212.00,"50,896",215.90,-1.9
LICN,804.00,0.63,798.30,804.00,788.00,"17,191",799.00,5
